angry disgust fear happy neutral sad surprise
0.104 0.199 0.046 0.874 0.995 0.147 0.468
0.106 0.203 0.072 0.68 0.991 0.174 0.667
0.103 0.199 0.048 0.868 0.994 0.15 0.488
0.108 0.198 0.068 0.674 0.993 0.177 0.646
0.106 0.195 0.06 0.724 0.994 0.168 0.606
0.103 0.187 0.052 0.752 0.995 0.156 0.574
0.13 0.224 0.046 0.765 0.995 0.19 0.471
0.128 0.225 0.046 0.755 0.994 0.19 0.487
0.134 0.231 0.049 0.754 0.994 0.197 0.47
0.111 0.204 0.05 0.748 0.995 0.158 0.525
0.128 0.222 0.046 0.756 0.995 0.202 0.468
0.126 0.213 0.047 0.718 0.995 0.203 0.495
0.117 0.225 0.047 0.742 0.995 0.174 0.492
0.125 0.208 0.048 0.704 0.995 0.208 0.499
0.119 0.202 0.047 0.728 0.995 0.196 0.505
0.12 0.229 0.046 0.717 0.995 0.193 0.481
0.111 0.212 0.044 0.8 0.995 0.173 0.48
0.11 0.221 0.045 0.821 0.995 0.173 0.468
0.123 0.242 0.048 0.705 0.995 0.202 0.473
0.122 0.243 0.049 0.706 0.995 0.202 0.48
0.12 0.24 0.049 0.698 0.995 0.196 0.496
0.121 0.242 0.049 0.698 0.995 0.199 0.49
0.105 0.218 0.046 0.814 0.995 0.169 0.478
0.115 0.234 0.05 0.714 0.995 0.191 0.499
0.103 0.232 0.042 0.88 0.994 0.167 0.429
0.105 0.228 0.043 0.915 0.993 0.153 0.399
0.104 0.231 0.048 0.87 0.994 0.149 0.454
0.105 0.224 0.049 0.805 0.995 0.161 0.492
0.11 0.229 0.052 0.75 0.994 0.179 0.51
0.122 0.238 0.059 0.689 0.993 0.213 0.507
0.128 0.249 0.055 0.685 0.994 0.206 0.482
0.122 0.227 0.052 0.682 0.995 0.191 0.524
0.13 0.241 0.053 0.691 0.995 0.201 0.478
0.127 0.231 0.053 0.685 0.995 0.196 0.488
0.11 0.211 0.048 0.736 0.995 0.178 0.519
0.124 0.226 0.046 0.777 0.995 0.182 0.447
0.12 0.229 0.044 0.811 0.995 0.174 0.438
0.104 0.225 0.043 0.884 0.994 0.156 0.425
0.118 0.228 0.044 0.844 0.995 0.17 0.424
0.103 0.217 0.044 0.864 0.995 0.159 0.448
0.105 0.212 0.048 0.825 0.995 0.171 0.47
0.107 0.215 0.049 0.823 0.995 0.176 0.46
0.115 0.222 0.047 0.865 0.994 0.17 0.429
0.105 0.219 0.049 0.818 0.995 0.178 0.462
0.097 0.223 0.047 0.871 0.994 0.16 0.458
0.089 0.207 0.046 0.872 0.994 0.143 0.514
0.107 0.228 0.045 0.885 0.993 0.167 0.434
0.1 0.202 0.049 0.783 0.995 0.177 0.519
0.107 0.211 0.048 0.776 0.995 0.183 0.496
0.101 0.207 0.048 0.796 0.995 0.172 0.513
0.099 0.183 0.056 0.747 0.994 0.18 0.591
0.108 0.216 0.046 0.877 0.993 0.172 0.46
0.11 0.211 0.046 0.852 0.994 0.174 0.466
0.114 0.219 0.046 0.832 0.994 0.181 0.459
0.116 0.223 0.046 0.804 0.994 0.184 0.469
